日期,净值,总资产,收益率,持仓占比,现金占比,上证指数,收益率,深证成指,收益率,中小板指,收益率,创业板指,收益率
2016-04-28,1.3814,138136766.31,38.14%,95.41%,4.59%,2945.59,-8.94%,10149.91,-7.85%,6611.79,21.07%,2155.23,46.44%
2016-04-29,1.3817,138168214.73,38.17%,95.41%,4.59%,2938.32,-9.16%,10141.54,-7.93%,6616.83,21.16%,2138.74,45.32%
2016-05-03,1.4207,142066370.39,42.07%,95.53%,4.47%,2992.64,-7.48%,10441.92,-5.20%,6812.15,24.74%,2217.23,50.65%
2016-05-04,1.4220,142196116.20,42.20%,95.53%,4.47%,2991.27,-7.52%,10422.80,-5.37%,6804.80,24.60%,2211.02,50.23%
2016-05-05,1.4307,143071293.11,43.07%,95.56%,4.44%,2997.84,-7.32%,10474.01,-4.91%,6825.51,24.98%,2224.10,51.12%
2016-05-06,1.3766,137663151.85,37.66%,95.37%,4.63%,2913.25,-9.94%,10100.54,-8.30%,6563.62,20.19%,2129.19,44.67%
2016-05-09,1.3211,132107560.68,32.11%,95.18%,4.82%,2832.11,-12.45%,9790.48,-11.11%,6390.90,17.02%,2053.60,39.53%
2016-05-10,1.3175,131746809.81,31.75%,95.16%,4.84%,2832.59,-12.43%,9793.21,-11.09%,6400.16,17.19%,2054.22,39.58%
2016-05-11,1.3069,130691892.35,30.69%,95.12%,4.88%,2837.04,-12.29%,9781.15,-11.20%,6390.86,17.02%,2034.93,38.27%
2016-05-12,1.3042,130421258.00,30.42%,95.10%,4.90%,2835.86,-12.33%,9796.58,-11.06%,6426.77,17.68%,2034.57,38.24%
2016-05-13,1.3012,130115769.26,30.12%,95.08%,4.92%,2827.11,-12.60%,9759.27,-11.40%,6398.49,17.16%,2025.22,37.61%
2016-05-16,1.3249,132485036.84,32.49%,95.17%,4.83%,2850.86,-11.87%,9910.08,-10.03%,6512.53,19.25%,2057.86,39.82%
2016-05-17,1.3234,132342968.88,32.34%,95.15%,4.85%,2843.68,-12.09%,9908.79,-10.04%,6505.02,19.11%,2081.44,41.43%
2016-05-18,1.2849,128485391.58,28.49%,95.00%,5.00%,2807.51,-13.21%,9694.78,-11.98%,6366.70,16.58%,2020.48,37.28%
2016-05-19,1.2922,129216563.02,29.22%,95.02%,4.98%,2806.91,-13.22%,9733.74,-11.63%,6379.46,16.81%,2037.40,38.43%
2016-05-20,1.3050,130498068.15,30.50%,95.06%,4.94%,2825.48,-12.65%,9816.75,-10.88%,6433.56,17.81%,2065.30,40.33%
2016-05-23,1.3253,132525042.98,32.53%,95.13%,4.87%,2843.65,-12.09%,9918.16,-9.95%,6484.90,18.75%,2098.23,42.57%
2016-05-24,1.3136,131355766.51,31.36%,95.08%,4.92%,2821.67,-12.77%,9821.70,-10.83%,6420.26,17.56%,2075.51,41.02%
2016-05-25,1.3096,130959048.42,30.96%,95.06%,4.94%,2815.09,-12.97%,9784.60,-11.17%,6403.62,17.26%,2067.25,40.46%
2016-05-26,1.3156,131557645.95,31.56%,95.08%,4.92%,2822.44,-12.74%,9826.14,-10.79%,6426.31,17.67%,2086.01,41.74%
2016-05-27,1.3150,131495681.51,31.50%,95.07%,4.93%,2821.05,-12.79%,9813.63,-10.90%,6420.72,17.57%,2069.89,40.64%
2016-05-30,1.3091,130907213.43,30.91%,95.04%,4.96%,2822.45,-12.74%,9768.84,-11.31%,6383.64,16.89%,2058.52,39.87%
2016-05-31,1.3592,135924660.99,35.92%,95.21%,4.79%,2916.62,-9.83%,10159.93,-7.76%,6653.51,21.83%,2159.80,46.75%
2016-06-01,1.3697,136965849.74,36.97%,95.24%,4.76%,2913.51,-9.93%,10209.14,-7.31%,6693.93,22.57%,2168.82,47.36%
2016-06-02,1.3828,138283802.70,38.28%,95.28%,4.72%,2925.23,-9.57%,10274.03,-6.72%,6734.03,23.31%,2188.56,48.70%
2016-06-03,1.3869,138686514.92,38.69%,95.29%,4.71%,2938.68,-9.15%,10344.91,-6.08%,6802.30,24.56%,2204.97,49.82%
2016-06-06,1.3923,139226974.12,39.23%,95.30%,4.70%,2934.10,-9.29%,10363.09,-5.92%,6839.81,25.24%,2199.30,49.43%
2016-06-07,1.3939,139388496.46,39.39%,95.30%,4.70%,2936.04,-9.23%,10347.84,-6.05%,6820.27,24.89%,2196.73,49.26%
2016-06-08,1.3919,139185481.52,39.19%,95.27%,4.73%,2927.16,-9.51%,10316.82,-6.34%,6809.42,24.69%,2186.54,48.57%
2016-06-13,1.3276,132759468.20,32.76%,95.04%,4.96%,2833.07,-12.42%,9862.58,-10.46%,6495.61,18.94%,2054.71,39.61%
2016-06-14,1.3324,133238454.60,33.24%,95.05%,4.95%,2842.19,-12.13%,9895.15,-10.16%,6518.60,19.36%,2058.31,39.85%
2016-06-15,1.3752,137524681.16,37.52%,95.20%,4.80%,2887.21,-10.74%,10173.85,-7.63%,6710.72,22.88%,2128.80,44.64%
2016-06-16,1.3764,137638011.48,37.64%,95.19%,4.81%,2872.82,-11.19%,10115.12,-8.17%,6671.66,22.17%,2101.42,42.78%
2016-06-17,1.3848,138484931.06,38.48%,95.21%,4.79%,2885.11,-10.81%,10182.53,-7.55%,6720.07,23.05%,2122.89,44.24%
2016-06-20,1.3879,138793875.20,38.79%,95.21%,4.79%,2888.81,-10.69%,10221.85,-7.20%,6752.48,23.65%,2119.63,44.02%
2016-06-21,1.3740,137401043.78,37.40%,95.15%,4.85%,2878.56,-11.01%,10131.86,-8.01%,6698.01,22.65%,2092.00,42.14%
2016-06-22,1.3962,139624053.29,39.62%,95.22%,4.78%,2905.55,-10.17%,10297.98,-6.51%,6801.21,24.54%,2144.82,45.73%
2016-06-23,1.3923,139231051.49,39.23%,95.20%,4.80%,2891.96,-10.59%,10255.27,-6.89%,6759.77,23.78%,2137.49,45.23%
2016-06-24,1.3818,138181185.65,38.18%,95.15%,4.85%,2854.29,-11.76%,10147.70,-7.87%,6658.70,21.93%,2127.36,44.55%
